,Unnamed: 0,Nursing Home Name,State,County,Connected_to,Strength,Connected_county,Connected_state
295,295,Minnesota Masonic Home Care Center,MN,Hennepin ,Park View Care Center,1,MN,Wright 
296,296,Minnesota Masonic Home Care Center,MN,Hennepin ,Capitol View Transitional Care Center,1,MN,Ramsey 
297,297,Minnesota Masonic Home Care Center,MN,Hennepin ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
298,298,Minnesota Masonic Home Care Center,MN,Hennepin ,Good Samaritan Society - Maplewood,1,MN,Ramsey 
299,299,Minnesota Masonic Home Care Center,MN,Hennepin ,Lyngblomsten Care Center,1,MN,Ramsey 
300,300,Minnesota Masonic Home Care Center,MN,Hennepin ,Martin Luther Care Center,1,MN,Hennepin 
301,301,Minnesota Masonic Home Care Center,MN,Hennepin ,St Crispin Living Community,1,MN,Goodhue 
302,302,Minnesota Masonic Home Care Center,MN,Hennepin ,St Gertrudes Health and Rehabilitation Center,1,MN,Scott 
303,303,Minnesota Masonic Home Care Center,MN,Hennepin ,St Anthony Health and Rehabilitation,1,MN,Ramsey 
304,304,Ramsey County Care Center,MN,Ramsey ,New Brighton A Villa Center,1,MN,Ramsey 
305,305,Ramsey County Care Center,MN,Ramsey ,Park View Care Center,1,MN,Wright 
306,306,Ramsey County Care Center,MN,Ramsey ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
307,307,Ramsey County Care Center,MN,Ramsey ,Ebenezer Care Center,1,MN,Hennepin 
308,308,Ramsey County Care Center,MN,Ramsey ,Gables Of Boutwells Landing,1,MN,Washington 
309,309,Ramsey County Care Center,MN,Ramsey ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
310,310,Ramsey County Care Center,MN,Ramsey ,Lyngblomsten Care Center,1,MN,Ramsey 
311,311,Ramsey County Care Center,MN,Ramsey ,Parmly On The Lake,1,MN,Chisago 
312,312,Ramsey County Care Center,MN,Ramsey ,Guardian Angels Care Center,1,MN,Sherburne 
313,313,Ramsey County Care Center,MN,Ramsey ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
314,314,Ramsey County Care Center,MN,Ramsey ,Walker Methodist Health Center,1,MN,Hennepin 
315,315,Texas Terrace A Villa Center,MN,Hennepin ,Rose Of Sharon A Villa Center,2,MN,Ramsey 
316,316,Texas Terrace A Villa Center,MN,Hennepin ,The Estates at St Louis Park,2,MN,Hennepin 
317,317,Texas Terrace A Villa Center,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
318,318,Texas Terrace A Villa Center,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
319,319,Texas Terrace A Villa Center,MN,Hennepin ,Camilia Rose Care Center,1,MN,Anoka 
320,320,Texas Terrace A Villa Center,MN,Hennepin ,Augustana Chapel View Care Center,1,MN,Hennepin 
321,321,Texas Terrace A Villa Center,MN,Hennepin ,The Estates at Roseville,1,MN,Ramsey 
322,322,Texas Terrace A Villa Center,MN,Hennepin ,New Brighton Care Center,1,MN,Ramsey 
323,323,Texas Terrace A Villa Center,MN,Hennepin ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
324,324,Texas Terrace A Villa Center,MN,Hennepin ,Park Health A Villa Center,1,MN,Hennepin 
325,325,Texas Terrace A Villa Center,MN,Hennepin ,Sholom Home West,1,MN,Hennepin 
326,326,Redeemer Residence,MN,Hennepin ,Capitol View Transitional Care Center,1,MN,Ramsey 
327,327,Redeemer Residence,MN,Hennepin ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
328,328,Redeemer Residence,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
329,329,Redeemer Residence,MN,Hennepin ,New Harmony Care and Rehab Center,1,MN,Ramsey 
330,330,Redeemer Residence,MN,Hennepin ,Mn Veterans Home Minneapolis,1,MN,Hennepin 
331,331,Redeemer Residence,MN,Hennepin ,Auburn Home In Waconia,1,MN,Carver 
332,332,Redeemer Residence,MN,Hennepin ,Auburn Manor,1,MN,Carver 
333,333,Redeemer Residence,MN,Hennepin ,Elim Home,1,MN,Mille Lacs 
334,334,Redeemer Residence,MN,Hennepin ,Mount Olivet Careview Home,1,MN,Hennepin 
335,335,Redeemer Residence,MN,Hennepin ,Northfield Care Center,1,MN,Rice 
336,336,Redeemer Residence,MN,Hennepin ,Augustana Health Care Center Of Minneapolis,1,MN,Hennepin 
337,337,Camilia Rose Care Center,MN,Anoka ,Hopkins Health Services,2,MN,Hennepin 
338,338,Camilia Rose Care Center,MN,Anoka ,The Estates at Roseville,2,MN,Ramsey 
339,339,Camilia Rose Care Center,MN,Anoka ,Texas Terrace A Villa Center,1,MN,Hennepin 
340,340,Camilia Rose Care Center,MN,Anoka ,Bywood East Health Care,1,MN,Hennepin 
341,341,Camilia Rose Care Center,MN,Anoka ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
342,342,Camilia Rose Care Center,MN,Anoka ,Hayes Residence,1,MN,Ramsey 
343,343,Camilia Rose Care Center,MN,Anoka ,Ebenezer Care Center,1,MN,Hennepin 
344,344,Camilia Rose Care Center,MN,Anoka ,New Brighton Care Center,1,MN,Ramsey 
345,345,Camilia Rose Care Center,MN,Anoka ,The Estates at St Louis Park,1,MN,Hennepin 
346,346,Camilia Rose Care Center,MN,Anoka ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
347,347,Camilia Rose Care Center,MN,Anoka ,Sholom Home West,1,MN,Hennepin 
348,348,Lyngblomsten Care Center,MN,Ramsey ,Capitol View Transitional Care Center,3,MN,Ramsey 
349,349,Lyngblomsten Care Center,MN,Ramsey ,New Brighton A Villa Center,1,MN,Ramsey 
350,350,Lyngblomsten Care Center,MN,Ramsey ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
351,351,Lyngblomsten Care Center,MN,Ramsey ,Ramsey County Care Center,1,MN,Ramsey 
352,352,Lyngblomsten Care Center,MN,Ramsey ,The Villa at St Louis Park,1,MN,Hennepin 
353,353,Lyngblomsten Care Center,MN,Ramsey ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
354,354,Lyngblomsten Care Center,MN,Ramsey ,The Estates at St Louis Park,1,MN,Hennepin 
355,355,Lyngblomsten Care Center,MN,Ramsey ,Crest View Lutheran Home,1,MN,Anoka 
356,356,Lyngblomsten Care Center,MN,Ramsey ,Parmly On The Lake,1,MN,Chisago 
357,357,Lyngblomsten Care Center,MN,Ramsey ,St Therese Home,1,MN,Hennepin 
358,358,Lyngblomsten Care Center,MN,Ramsey ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
359,359,Maranatha Care Center,MN,Hennepin ,Lake Minnetonka Shores,1,MN,Hennepin 
360,360,Maranatha Care Center,MN,Hennepin ,Presbyterian Homes Of Bloomington,1,MN,Hennepin 
361,361,Maranatha Care Center,MN,Hennepin ,Jones Harrison Residence,1,MN,Hennepin 
362,362,Maranatha Care Center,MN,Hennepin ,Gables Of Boutwells Landing,1,MN,Washington 
363,363,Maranatha Care Center,MN,Hennepin ,The Villa at Osseo,1,MN,Hennepin 
364,364,Maranatha Care Center,MN,Hennepin ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
365,365,Maranatha Care Center,MN,Hennepin ,Annandale Care Center,1,MN,Wright 
366,366,Maranatha Care Center,MN,Hennepin ,Good Samaritan Ambassador,1,MN,Hennepin 
367,367,Maranatha Care Center,MN,Hennepin ,Folkestone,1,MN,Hennepin 
368,368,Maranatha Care Center,MN,Hennepin ,Park Health A Villa Center,1,MN,Hennepin 
369,369,Maranatha Care Center,MN,Hennepin ,St Therese Home,1,MN,Hennepin 
370,370,Guardian Angels Care Center,MN,Sherburne ,New Brighton A Villa Center,1,MN,Ramsey 
371,371,Guardian Angels Care Center,MN,Sherburne ,Ramsey County Care Center,1,MN,Ramsey 
372,372,Guardian Angels Care Center,MN,Sherburne ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
373,373,Guardian Angels Care Center,MN,Sherburne ,Southview Acres Healthcare Center,1,MN,Dakota 
374,374,Guardian Angels Care Center,MN,Sherburne ,Elim Home - Milaca,1,MN,Mille Lacs 
375,375,Guardian Angels Care Center,MN,Sherburne ,Gables Of Boutwells Landing,1,MN,Washington 
376,376,Guardian Angels Care Center,MN,Sherburne ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
377,377,Guardian Angels Care Center,MN,Sherburne ,Elim Home,1,MN,Mille Lacs 
378,378,Guardian Angels Care Center,MN,Sherburne ,Parmly On The Lake,1,MN,Chisago 
379,379,Guardian Angels Care Center,MN,Sherburne ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
380,380,Guardian Angels Care Center,MN,Sherburne ,Walker Methodist Health Center,1,MN,Hennepin 
381,381,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Capitol View Transitional Care Center,3,MN,Ramsey 
382,382,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Glencoe Regional Health Services,2,MN,McLeod 
383,383,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Ridgeview Lesueur Long Term Care and Rehab Center,2,MN,Le Sueur 
384,384,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
385,385,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Lake Minnetonka Shores,1,MN,Hennepin 
386,386,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Mn Veterans Home Minneapolis,1,MN,Hennepin 
387,387,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Interlude,1,MN,Hennepin 
388,388,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
389,389,St Gertrudes Health and Rehabilitation Center,MN,Scott ,Charter House,1,MN,Olmsted 
391,391,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Rochester Health Services West,1,MN,Olmsted 
392,392,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,New Brighton A Villa Center,1,MN,Ramsey 
393,393,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
394,394,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Lake Winona Manor,1,MN,Winona 
395,395,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Prairie Manor Care Center,1,MN,Steele 
396,396,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
397,397,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
398,398,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Pathstone Living,1,MN,Blue Earth 
399,399,Bay View Nursing and Rehabilitation Center,MN,Goodhue ,Pine Haven Care Center,1,MN,Goodhue 
402,402,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Oaklawn Care and Rehabilitation Center,3,MN,Blue Earth 
403,403,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Lake Winona Manor,1,MN,Winona 
404,404,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Prairie Manor Care Center,1,MN,Steele 
405,405,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
406,406,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Ridgeview Lesueur Long Term Care and Rehab Center,1,MN,Le Sueur 
407,407,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Mapleton Community Home,1,MN,Blue Earth 
408,408,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Pleasant Manor,1,MN,Rice 
409,409,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Mala Strana Care and Rehabilitation Center,1,MN,Scott 
410,410,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Pathstone Living,1,MN,Blue Earth 
411,411,Laurels Peak Care and Rehabilitation Center,MN,Blue Earth ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
412,412,The Villa at Osseo,MN,Hennepin ,New Brighton A Villa Center,1,MN,Ramsey 
413,413,The Villa at Osseo,MN,Hennepin ,Centracare Health - Monticello,1,MN,Wright 
414,414,The Villa at Osseo,MN,Hennepin ,Edenbrook Of Rochester,1,MN,Olmsted 
415,415,The Villa at Osseo,MN,Hennepin ,Rose Of Sharon A Villa Center,1,MN,Ramsey 
416,416,The Villa at Osseo,MN,Hennepin ,Annandale Care Center,1,MN,Wright 
417,417,The Villa at Osseo,MN,Hennepin ,Brookview A Villa Center,1,MN,Hennepin 
418,418,The Villa at Osseo,MN,Hennepin ,Good Samaritan Ambassador,1,MN,Hennepin 
419,419,The Villa at Osseo,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
420,420,The Villa at Osseo,MN,Hennepin ,St Therese Home,1,MN,Hennepin 
421,421,The Villa at Osseo,MN,Hennepin ,Good Samaritan Society - Specialty Care Community,1,MN,Hennepin 
422,422,Galtier A Villa Center,MN,Ramsey ,Capitol View Transitional Care Center,1,MN,Ramsey 
423,423,Galtier A Villa Center,MN,Ramsey ,Southview Acres Healthcare Center,1,MN,Dakota 
424,424,Galtier A Villa Center,MN,Ramsey ,The Estates at Lynnhurst,1,MN,Ramsey 
425,425,Galtier A Villa Center,MN,Ramsey ,Ebenezer Care Center,1,MN,Hennepin 
426,426,Galtier A Villa Center,MN,Ramsey ,Cerenity Care Center - White Bear Lake,1,MN,Ramsey 
427,427,Galtier A Villa Center,MN,Ramsey ,New Harmony Care and Rehab Center,1,MN,Ramsey 
428,428,Galtier A Villa Center,MN,Ramsey ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
429,429,Galtier A Villa Center,MN,Ramsey ,Woodlyn Heights Healthcare Center,1,MN,Dakota 
430,430,Galtier A Villa Center,MN,Ramsey ,Brookview A Villa Center,1,MN,Hennepin 
431,431,Galtier A Villa Center,MN,Ramsey ,Sholom Home West,1,MN,Hennepin 
432,432,Benedictine Health Center Innsbruck,MN,Ramsey ,New Brighton A Villa Center,2,MN,Ramsey 
433,433,Benedictine Health Center Innsbruck,MN,Ramsey ,Ramsey County Care Center,1,MN,Ramsey 
434,434,Benedictine Health Center Innsbruck,MN,Ramsey ,The Villa at St Louis Park,1,MN,Hennepin 
435,435,Benedictine Health Center Innsbruck,MN,Ramsey ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
436,436,Benedictine Health Center Innsbruck,MN,Ramsey ,Gables Of Boutwells Landing,1,MN,Washington 
437,437,Benedictine Health Center Innsbruck,MN,Ramsey ,Lyngblomsten Care Center,1,MN,Ramsey 
438,438,Benedictine Health Center Innsbruck,MN,Ramsey ,Parmly On The Lake,1,MN,Chisago 
439,439,Benedictine Health Center Innsbruck,MN,Ramsey ,Guardian Angels Care Center,1,MN,Sherburne 
440,440,Benedictine Health Center Innsbruck,MN,Ramsey ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
441,441,Benedictine Health Center Innsbruck,MN,Ramsey ,Walker Methodist Health Center,1,MN,Hennepin 
442,442,Walker Methodist Health Center,MN,Hennepin ,Mount Olivet Careview Home,2,MN,Hennepin 
443,443,Walker Methodist Health Center,MN,Hennepin ,New Brighton A Villa Center,1,MN,Ramsey 
444,444,Walker Methodist Health Center,MN,Hennepin ,Ramsey County Care Center,1,MN,Ramsey 
445,445,Walker Methodist Health Center,MN,Hennepin ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
446,446,Walker Methodist Health Center,MN,Hennepin ,Gables Of Boutwells Landing,1,MN,Washington 
447,447,Walker Methodist Health Center,MN,Hennepin ,Saint Therese at Oxbow Lake,1,MN,Hennepin 
448,448,Walker Methodist Health Center,MN,Hennepin ,The Estates at Chateau,1,MN,Hennepin 
449,449,Walker Methodist Health Center,MN,Hennepin ,Parmly On The Lake,1,MN,Chisago 
450,450,Walker Methodist Health Center,MN,Hennepin ,Guardian Angels Care Center,1,MN,Sherburne 
451,451,Walker Methodist Health Center,MN,Hennepin ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
452,452,Rochester Health Services West,MN,Olmsted ,Rochester East Health Services,1,MN,Olmsted 
453,453,Rochester Health Services West,MN,Olmsted ,La Crescent Health Services,1,MN,Houston 
454,454,Rochester Health Services West,MN,Olmsted ,Pleasant Manor,1,MN,Rice 
455,455,Rochester Health Services West,MN,Olmsted ,Woodbury Health Care Center,1,MN,Washington 
456,456,Rochester Health Services West,MN,Olmsted ,Charter House,1,MN,Olmsted 
457,457,Rochester Health Services West,MN,Olmsted ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
458,458,Rochester Health Services West,MN,Olmsted ,Madonna Towers Of Rochester,1,MN,Olmsted 
459,459,Rochester Health Services West,MN,Olmsted ,Pine Haven Care Center,1,MN,Goodhue 
461,461,Prairie Manor Care Center,MN,Steele ,Lake Winona Manor,2,MN,Winona 
462,462,Prairie Manor Care Center,MN,Steele ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
463,463,Prairie Manor Care Center,MN,Steele ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
464,464,Prairie Manor Care Center,MN,Steele ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
465,465,Prairie Manor Care Center,MN,Steele ,Sacred Heart Care Center,1,MN,Mower 
466,466,Prairie Manor Care Center,MN,Steele ,Pathstone Living,1,MN,Blue Earth 
467,467,Prairie Manor Care Center,MN,Steele ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
468,468,Prairie Manor Care Center,MN,Steele ,Benedictine Living Community,1,MN,Nicollet 
470,470,Mayo Clinic Health System - Lake City,MN,Goodhue ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
471,471,Mayo Clinic Health System - Lake City,MN,Goodhue ,Lake Winona Manor,1,MN,Winona 
472,472,Mayo Clinic Health System - Lake City,MN,Goodhue ,Prairie Manor Care Center,1,MN,Steele 
473,473,Mayo Clinic Health System - Lake City,MN,Goodhue ,Capitol View Transitional Care Center,1,MN,Ramsey 
474,474,Mayo Clinic Health System - Lake City,MN,Goodhue ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
475,475,Mayo Clinic Health System - Lake City,MN,Goodhue ,Samaritan Bethany Home On Eighth,1,MN,Olmsted 
476,476,Mayo Clinic Health System - Lake City,MN,Goodhue ,Pathstone Living,1,MN,Blue Earth 
477,477,Mayo Clinic Health System - Lake City,MN,Goodhue ,Charter House,1,MN,Olmsted 
478,478,Mayo Clinic Health System - Lake City,MN,Goodhue ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
479,479,New Brighton Care Center,MN,Ramsey ,Texas Terrace A Villa Center,1,MN,Hennepin 
480,480,New Brighton Care Center,MN,Ramsey ,Hopkins Health Services,1,MN,Hennepin 
481,481,New Brighton Care Center,MN,Ramsey ,Ebenezer Care Center,1,MN,Hennepin 
482,482,New Brighton Care Center,MN,Ramsey ,Camilia Rose Care Center,1,MN,Anoka 
483,483,New Brighton Care Center,MN,Ramsey ,The Estates at Roseville,1,MN,Ramsey 
484,484,New Brighton Care Center,MN,Ramsey ,The Estates at St Louis Park,1,MN,Hennepin 
485,485,New Brighton Care Center,MN,Ramsey ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
486,486,New Brighton Care Center,MN,Ramsey ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
487,487,New Brighton Care Center,MN,Ramsey ,Sholom Home West,1,MN,Hennepin 
488,488,Elim Home,MN,Mille Lacs ,Elim Home - Milaca,2,MN,Mille Lacs 
489,489,Elim Home,MN,Mille Lacs ,The Gardens at Foley,1,MN,Benton 
490,490,Elim Home,MN,Mille Lacs ,Centracare Health - Monticello,1,MN,Wright 
491,491,Elim Home,MN,Mille Lacs ,Park View Care Center,1,MN,Wright 
492,492,Elim Home,MN,Mille Lacs ,Redeemer Residence,1,MN,Hennepin 
493,493,Elim Home,MN,Mille Lacs ,Auburn Home In Waconia,1,MN,Carver 
494,494,Elim Home,MN,Mille Lacs ,Auburn Manor,1,MN,Carver 
495,495,Elim Home,MN,Mille Lacs ,Northfield Care Center,1,MN,Rice 
496,496,Elim Home,MN,Mille Lacs ,Guardian Angels Care Center,1,MN,Sherburne 
497,497,Brookview A Villa Center,MN,Hennepin ,New Brighton A Villa Center,1,MN,Ramsey 
498,498,Brookview A Villa Center,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
499,499,Brookview A Villa Center,MN,Hennepin ,Good Shepherd Lutheran Home,1,MN,Benton 
500,500,Brookview A Villa Center,MN,Hennepin ,The Villa at Osseo,1,MN,Hennepin 
501,501,Brookview A Villa Center,MN,Hennepin ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
502,502,Brookview A Villa Center,MN,Hennepin ,Woodlyn Heights Healthcare Center,1,MN,Dakota 
503,503,Brookview A Villa Center,MN,Hennepin ,Galtier A Villa Center,1,MN,Ramsey 
504,504,Brookview A Villa Center,MN,Hennepin ,St Crispin Living Community,1,MN,Goodhue 
505,505,Brookview A Villa Center,MN,Hennepin ,Sholom Home West,1,MN,Hennepin 
506,506,Essentia Health Virginia Care Cent,MN,St Louis ,Essentia Health - Homestead,2,MN,Itasca 
507,507,Essentia Health Virginia Care Cent,MN,St Louis ,Essentia Health Northern Pines Medical Center,2,MN,St Louis 
508,508,Essentia Health Virginia Care Cent,MN,St Louis ,Cook Community Hospital C&Nc,2,MN,St Louis 
509,509,Essentia Health Virginia Care Cent,MN,St Louis ,Capitol View Transitional Care Center,1,MN,Ramsey 
510,510,Essentia Health Virginia Care Cent,MN,St Louis ,Essentia Health Fosston,1,MN,Polk 
511,511,Essentia Health Virginia Care Cent,MN,St Louis ,The Waterview Pines,1,MN,St Louis 
512,512,Essentia Health Virginia Care Cent,MN,St Louis ,The Waterview Woods,1,MN,St Louis 
513,513,Essentia Health Virginia Care Cent,MN,St Louis ,Good Samaritan Society - International Falls,1,MN,Koochiching 
514,514,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Interlude,2,MN,Hennepin 
515,515,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Capitol View Transitional Care Center,1,MN,Ramsey 
516,516,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Lake Minnetonka Shores,1,MN,Hennepin 
517,517,Presbyterian Homes Of Arden Hills,MN,Ramsey ,The Estates at Roseville,1,MN,Ramsey 
518,518,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Jones Harrison Residence,1,MN,Hennepin 
519,519,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
520,520,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
521,521,Presbyterian Homes Of Arden Hills,MN,Ramsey ,Woodbury Health Care Center,1,MN,Washington 
522,522,Presbyterian Homes Of Arden Hills,MN,Ramsey ,St Gertrudes Health and Rehabilitation Center,1,MN,Scott 
523,523,Pine Haven Care Center,MN,Goodhue ,Rochester Health Services West,1,MN,Olmsted 
524,524,Pine Haven Care Center,MN,Goodhue ,Stewartville Care Center,1,MN,Olmsted 
525,525,Pine Haven Care Center,MN,Goodhue ,Zumbrota Care Center,1,MN,Goodhue 
526,526,Pine Haven Care Center,MN,Goodhue ,Rochester Rehabilitation and Living Center,1,MN,Olmsted 
527,527,Pine Haven Care Center,MN,Goodhue ,Charter House,1,MN,Olmsted 
528,528,Pine Haven Care Center,MN,Goodhue ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
529,529,Pine Haven Care Center,MN,Goodhue ,Madonna Towers Of Rochester,1,MN,Olmsted 
531,531,Park View Care Center,MN,Wright ,Haven Homes Of Maple Plain,1,MN,Hennepin 
532,532,Park View Care Center,MN,Wright ,Centracare Health - Monticello,1,MN,Wright 
533,533,Park View Care Center,MN,Wright ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
534,534,Park View Care Center,MN,Wright ,Ramsey County Care Center,1,MN,Ramsey 
535,535,Park View Care Center,MN,Wright ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
536,536,Park View Care Center,MN,Wright ,Ebenezer Care Center,1,MN,Hennepin 
537,537,Park View Care Center,MN,Wright ,Elim Home,1,MN,Mille Lacs 
538,538,Park View Care Center,MN,Wright ,St Crispin Living Community,1,MN,Goodhue 
539,539,The Gardens at Cannon Falls,MN,Goodhue ,New Brighton A Villa Center,1,MN,Ramsey 
540,540,The Gardens at Cannon Falls,MN,Goodhue ,Caledonia Rehabilitation and Retirement Center,1,MN,Houston 
541,541,The Gardens at Cannon Falls,MN,Goodhue ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
542,542,The Gardens at Cannon Falls,MN,Goodhue ,Central Health Care,1,MN,Le Sueur 
543,543,The Gardens at Cannon Falls,MN,Goodhue ,Capitol View Transitional Care Center,1,MN,Ramsey 
544,544,The Gardens at Cannon Falls,MN,Goodhue ,Southview Acres Healthcare Center,1,MN,Dakota 
545,545,The Gardens at Cannon Falls,MN,Goodhue ,Mala Strana Care and Rehabilitation Center,1,MN,Scott 
546,546,Jones Harrison Residence,MN,Hennepin ,Woodbury Health Care Center,2,MN,Washington 
547,547,Jones Harrison Residence,MN,Hennepin ,Centracare Health - Monticello,1,MN,Wright 
548,548,Jones Harrison Residence,MN,Hennepin ,Mission Nursing Home,1,MN,Hennepin 
549,549,Jones Harrison Residence,MN,Hennepin ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
550,550,Jones Harrison Residence,MN,Hennepin ,Courage Kenny Rehabilitation Institutes Trp,1,MN,Hennepin 
551,551,Jones Harrison Residence,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
552,552,Jones Harrison Residence,MN,Hennepin ,Sholom Home West,1,MN,Hennepin 
553,553,Jones Harrison Residence,MN,Hennepin ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
554,554,Northfield Hospital Long Term Care Center,MN,Dakota ,Three Links Care Center,2,MN,Rice 
555,555,Northfield Hospital Long Term Care Center,MN,Dakota ,Koda Living Community,2,MN,Steele 
556,556,Northfield Hospital Long Term Care Center,MN,Dakota ,Glencoe Regional Health Services,1,MN,McLeod 
557,557,Northfield Hospital Long Term Care Center,MN,Dakota ,Ridgeview Lesueur Long Term Care and Rehab Center,1,MN,Le Sueur 
558,558,Northfield Hospital Long Term Care Center,MN,Dakota ,Spring Valley Care Center,1,MN,Fillmore 
559,559,Northfield Hospital Long Term Care Center,MN,Dakota ,The Emeralds at Faribault,1,MN,Rice 
560,560,Northfield Hospital Long Term Care Center,MN,Dakota ,Cuyuna Regional Medical Center,1,MN,Crow Wing 
562,562,Saint Therese at Oxbow Lake,MN,Hennepin ,St Therese Home,2,MN,Hennepin 
563,563,Saint Therese at Oxbow Lake,MN,Hennepin ,North Ridge Health and Rehab,1,MN,Hennepin 
564,564,Saint Therese at Oxbow Lake,MN,Hennepin ,Gables Of Boutwells Landing,1,MN,Washington 
565,565,Saint Therese at Oxbow Lake,MN,Hennepin ,Crest View Lutheran Home,1,MN,Anoka 
566,566,Saint Therese at Oxbow Lake,MN,Hennepin ,Good Samaritan Ambassador,1,MN,Hennepin 
567,567,Saint Therese at Oxbow Lake,MN,Hennepin ,Folkestone,1,MN,Hennepin 
568,568,Saint Therese at Oxbow Lake,MN,Hennepin ,Walker Methodist Health Center,1,MN,Hennepin 
569,569,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,Texas Terrace A Villa Center,1,MN,Hennepin 
570,570,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,Hopkins Health Services,1,MN,Hennepin 
571,571,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,Ebenezer Care Center,1,MN,Hennepin 
572,572,Augustana Care Hastings Health and Rehabilitation,MN,Dakota ,Camilia Rose Care Center,1,MN,Anoka 
